ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.5,0.3849001794597505,0.001,10.0,-0.02813292507345832,-0.002338586912338788,-8.584689708567017e-06,-0.002338586912338788,0.20772071008847717,0.0011621161763119003,1.3877787807814457e-17,8.816057147632612e-17,3.8764607494412404
0.5,0.3849001794597505,0.001,12.0,-0.02813335230310134,-0.0023385869105569035,-8.585109816622999e-06,-0.0023385869105569035,0.20772860848716274,0.0011621161826768645,1.1107649934270853e-16,1.5129698493940541e-16,4.678472762254189
0.5,0.3849001794597505,0.001,14.0,-0.028133478508774783,-0.002338586909769377,-8.58537988087521e-06,-0.002338586909769377,0.20773080963879442,0.0011621161822955584,0.0,2.2085198253529725e-16,5.479582171653148
0.5,0.3849001794597505,0.001,16.0,-0.028133523308527468,-0.002338586912710882,-8.586154095595322e-06,-0.002338586912710882,0.20773154668106927,0.0011621161850696726,0.0,8.34473019942443e-17,6.280229817068004
0.5,0.3849001794597505,0.002,10.0,-0.02815867956023976,-0.004677562388109674,-3.433917649000792e-05,-0.004677562388109674,0.2077105052806384,0.002324434506897899,1.3877787807814457e-17,3.836298902887396e-17,3.8766156195807238
0.5,0.3849001794597505,0.002,12.0,-0.028159110340453184,-0.004677562384021353,-3.4343147168467564e-05,-0.004677562384021353,0.20771838925761932,0.002324434518999774,6.938893903907228e-18,2.4841246232982515e-17,4.678725764110451
0.5,0.3849001794597505,0.002,14.0,-0.028159246539879043,-0.0046775623839068,-3.435341098513567e-05,-0.0046775623839068,0.20772058531042484,0.002324434516894014,1.1188630228279524e-16,1.2092854899285632e-16,5.479968632811919
0.5,0.3849001794597505,0.002,16.0,-0.02815932467193465,-0.004677562388269411,-3.438751750277705e-05,-0.004677562388269411,0.20772132164242707,0.0023244345111274045,1.1102230246251565e-16,2.567522603485973e-17,6.280790570217076
0.5,0.3849001794597505,0.003,10.0,-0.028201607897013616,-0.007017315055360679,-7.726751326386436e-05,-0.007017315055360679,0.20769349366374856,0.0034871571849132144,2.2247786310271853e-16,2.3026943153140325e-16,3.8768738096542914
0.5,0.3849001794597505,0.003,12.0,-0.028202065823103948,-0.007017315050441755,-7.729862981923144e-05,-0.007017315050441755,0.20770135498534564,0.0034871572023421615,0.0,1.7867651802561113e-16,4.679147603120402
0.5,0.3849001794597505,0.003,14.0,-0.028202305828271858,-0.00701731505021389,-7.741269937795031e-05,-0.00701731505021389,0.20770354785605585,0.003487157207809677,1.3877787807814457e-17,5.898059818321144e-17,5.480613083005951
0.5,0.3849001794597505,0.003,16.0,-0.028202736547869922,-0.007017315051986182,-7.779939343804942e-05,-0.007017315051986182,0.20770429904908416,0.0034871572038397414,0.0,1.6365348541700846e-16,6.2817258143354175
0.5,0.3849001794597505,0.004,10.0,-0.028261726763050582,-0.009358233639856967,-0.00013738637930083009,-0.009358233639856967,0.2076696705536886,0.004650486461605263,1.1188630228279524e-16,1.7567876183194558e-16,3.877235429399015
0.5,0.3849001794597505,0.004,12.0,-0.02826231508813139,-0.009358233632998435,-0.0001375478948466742,-0.009358233632998435,0.20767750634043708,0.004650486490963557,1.3877787807814457e-17,1.6365348541700844e-17,4.67973853308229
0.5,0.3849001794597505,0.004,14.0,-0.02826307852186714,-0.009358233635307842,-0.00013818539297323282,-0.009358233635307842,0.20767971713512828,0.004650486482460581,2.220446049250313e-16,1.4821483875836085e-17,5.481516044431654
0.5,0.3849001794597505,0.004,16.0,-0.028265293852950662,-0.009358233629540875,-0.00014035669851878915,-0.009358233629540875,0.20768055895551946,0.00465048648263755,1.1443916996305594e-16,2.272156675313794e-16,6.283036532273412
0.5,0.3849001794597505,0.005,10.0,-0.02833908018205814,-0.011700707040697176,-0.00021473979830838666,-0.011700707040697176,0.20763903100559317,0.0058146246849917205,0.0,1.136078337656897e-16,3.8777006323977474
0.5,0.3849001794597505,0.005,12.0,-0.02834010910377831,-0.01170070703292261,-0.00021534191049359455,-0.01170070703292261,0.20764685198697008,0.005814624716991013,1.3877787807814457e-17,4.40619762898109e-16,4.680498909161673
0.5,0.3849001794597505,0.005,14.0,-0.02834266313549229,-0.011700707031048464,-0.0002177700065983841,-0.011700707031048464,0.2076491526285154,0.005814624711456773,2.237726045655905e-16,9.813077866773594e-17,5.4826782477686775
0.5,0.3849001794597505,0.005,16.0,-0.028350986985448703,-0.011700707028580792,-0.00022604983101683074,-0.011700707028580792,0.20765031761357,0.0058146247456905,2.2247786310271853e-16,1.4488835837920476e-16,6.284724099113391
0.5,0.3849001794597505,0.006,10.0,-0.028433760277045833,-0.014045124386796053,-0.0003094198932960812,-0.014045124386796053,0.20760157154570902,0.006979774354048063,2.237726045655905e-16,9.770051323749143e-17,3.878269616030034
0.5,0.3849001794597505,0.006,12.0,-0.02843596964077646,-0.014045124385074895,-0.00031120244749174505,-0.014045124385074895,0.2076094170936787,0.006979774395111882,2.237726045655905e-16,2.0874425738630802e-16,4.681429187739566
0.5,0.3849001794597505,0.006,14.0,-0.028443340688271194,-0.014045124389579312,-0.000318447559377287,-0.014045124389579312,0.20761198425378485,0.006979774399445526,0.0,1.4833660915169986e-16,5.484100631785183
0.5,0.3849001794597505,0.006,16.0,-0.028468099895780474,-0.014045124421059686,-0.0003431627413486016,-0.014045124421059686,0.20761402866151163,0.006979774430849739,2.7755575615628914e-17,7.796612332912425e-17,6.2867902812629195
