ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.0,0.0,0.001,10.0,-1.0176773763680928e-05,-0.003200088716597047,-1.017675102623104e-05,-0.003200088716597047,-1.775054910514427e-13,-7.557954935973724e-18,0.0,2.0664968040832845e-32,3.8500072806925485
0.0,0.0,0.001,12.0,-1.0177233686834092e-05,-0.0032000887049299337,-1.0177217315870232e-05,-0.0032000887049299337,-1.7739662003807039e-13,-7.557969767452521e-18,1.1102230246251565e-16,1.0465905402001478e-32,4.654000588984913
0.0,0.0,0.001,14.0,-1.0177530686933831e-05,-0.0032000887038727637,-1.017751731731335e-05,-0.0032000887038727637,-1.7694419824786274e-13,-7.55798372430309e-18,1.1102230246251565e-16,1.7088508032935614e-31,5.456566550489593
0.0,0.0,0.001,16.0,-1.017805723854337e-05,-0.0032000887025886767,-1.0178097984053403e-05,-0.0032000887025886767,-1.759193454189999e-13,-7.557998281161262e-18,0.0,8.209276387950593e-32,6.258352051882631
0.0,0.0,0.002,10.0,-4.0707206345536213e-05,-0.006400640165236523,-4.0707183608086324e-05,-0.006400640165236523,-7.096242634587569e-13,-6.030052387236487e-17,6.938893903907228e-18,1.3682509011051135e-31,3.8501596509286515
0.0,0.0,0.002,12.0,-4.071134225436306e-05,-0.006400640142321258,-4.0711325883399195e-05,-0.006400640142321258,-7.091692677090489e-13,-6.030064610852677e-17,2.220446049250313e-16,1.4791141972893971e-31,4.654250268104627
0.0,0.0,0.002,14.0,-4.072158802152727e-05,-0.0064006401408853155,-4.072157465190679e-05,-0.0064006401408853155,-7.073129694195284e-13,-6.030076262785786e-17,0.0,8.074439184388397e-31,5.456948792486797
0.0,0.0,0.002,16.0,-4.075538984395818e-05,-0.006400640141457498,-4.0755430589468214e-05,-0.006400640141457498,-7.031062435917258e-13,-6.030088461571159e-17,0.0,3.268702009594776e-31,6.258907602943245
0.0,0.0,0.003,10.0,-9.159470617140896e-05,-0.00960211714356197,-9.159468343395907e-05,-0.00960211714356197,-1.595125894412862e-12,-2.0259667373707036e-16,1.3877787807814457e-17,7.381241024031528e-31,3.8504136725165066
0.0,0.0,0.003,12.0,-9.162609799490986e-05,-0.009602117108574549,-9.1626081623946e-05,-0.009602117108574549,-1.5939296035158438e-12,-2.0259714770443005e-16,1.3877787807814457e-17,1.765076705807368e-31,4.654666565466259
0.0,0.0,0.003,14.0,-9.173974582185661e-05,-0.009602117107296993,-9.173973245223613e-05,-0.009602117107296993,-1.5893071693764033e-12,-2.0259761411525957e-16,0.0,9.244463733058732e-33,5.45758620424506
0.0,0.0,0.003,16.0,-9.212532529043725e-05,-0.009602117106505798,-9.212536603594728e-05,-0.009602117106505798,-1.5787992959643204e-12,-2.0259810697788267e-16,0.0,4.59141698741917e-31,6.259834166331255
0.0,0.0,0.004,10.0,-0.00016285476465378802,-0.012804982553108316,-0.00016285474191633814,-0.012804982553108316,-2.8318352981682347e-12,-4.771837543869996e-16,0.0,7.58321556256456e-31,3.850769452223689
0.0,0.0,0.004,12.0,-0.0001630163372126352,-0.01280498250542795,-0.00016301632084167133,-0.01280498250542795,-2.8289081605626316e-12,-4.771852869905101e-16,1.3877787807814457e-17,7.892459972162309e-31,4.655249729239014
0.0,0.0,0.004,14.0,-0.000163651773309043,-0.012804982499943591,-0.00016365175993942252,-0.012804982499943591,-2.818569728128868e-12,-4.771868628005256e-16,1.3877787807814457e-17,2.645115909226604e-30,5.458479298216256
0.0,0.0,0.004,16.0,-0.00016581800357824716,-0.012804982495906175,-0.0001658180443237572,-0.012804982495906175,-2.7949042361956066e-12,-4.771885505096906e-16,2.220446049250313e-16,5.886851794034309e-31,6.261132709034001
0.0,0.0,0.005,10.0,-0.0002545296408128833,-0.01600969947479984,-0.0002545296180754334,-0.01600969947479984,-4.416446227309909e-12,-9.243508838075949e-16,0.0,2.465190328815662e-31,3.85122713947694
0.0,0.0,0.005,12.0,-0.0002551304524167862,-0.01600969941893136,-0.00025513043604582234,-0.01600969941893136,-4.4092713642728684e-12,-9.243555924472018e-16,1.1102230246251565e-16,1.2482726804701768e-30,4.65600010671189
0.0,0.0,0.005,14.0,-0.0002575513599856183,-0.01600969941415554,-0.00025755134661599785,-0.01600969941415554,-4.3861493566732e-12,-9.24360614560998e-16,0.0,7.736928270914095e-31,5.459628791448209
0.0,0.0,0.005,16.0,-0.0002658126371703801,-0.01600969942175862,-0.0002658126779158901,-0.01600969942175862,-4.33276073268589e-12,-9.243660530656196e-16,0.0,1.7009813268828067e-30,6.262804583948099
0.0,0.0,0.006,10.0,-0.0003667089821317981,-0.019216731200520976,-0.0003667089593943482,-0.019216731200520976,-6.3442603201201236e-12,-1.5811213645713208e-15,2.7755575615628914e-17,2.837861321677958e-30,3.8517869263143214
0.0,0.0,0.006,12.0,-0.0003684860911325298,-0.01921673113747207,-0.0003684860747615659,-0.01921673113747207,-6.327166101823354e-12,-1.581134939367831e-15,0.0,3.8292270432112426e-30,4.6569181441459735
0.0,0.0,0.006,14.0,-0.00037571003711126504,-0.019216731147817658,-0.0003757100237416446,-0.019216731147817658,-6.27565263566043e-12,-1.5811497382358444e-15,0.0,1.2818989709841442e-30,5.46103560520045
0.0,0.0,0.006,16.0,-0.00040037030978176203,-0.019216731180894443,-0.0004003703505272721,-0.019216731180894443,-6.1558253092889815e-12,-1.5811658704962862e-15,1.1443916996305594e-16,2.908924588002481e-30,6.264851528995292
