ell_over_ell_ext,ell,k_static,k_real_Momega_0p002,k_imag_Momega_0p002,delta_k_real_Momega_0p002,k_real_Momega_0p004,k_imag_Momega_0p004,delta_k_real_Momega_0p004,k_real_Momega_0p006,k_imag_Momega_0p006,delta_k_real_Momega_0p006
0.0,0.0,0.0,-1.5751748826761075e-05,-0.004267085213571135,-1.5751748826761075e-05,-6.179237658363803e-05,-0.008536687351248256,-6.179237658363803e-05,-0.00012724692075764604,-0.012811324707285635,-0.00012724692075764604
0.1,0.07698003589195011,0.0008532848533869884,0.0008373044943230536,-0.004197630469709387,-1.59803590639348e-05,0.0007905774501974051,-0.008397751568013118,-6.270740318958334e-05,0.0007239770515948562,-0.012602855234078173,-0.0001293078017921322
0.2,0.15396007178390023,0.00794594636782332,0.007929244637606586,-0.003992590526694116,-1.6701730216733476e-05,0.007880352780376434,-0.00798759301415598,-6.559358744688548e-05,0.007810138220971851,-0.01198742073004954,-0.0001358081468514679
0.3,0.2309401076758503,0.03486408588465715,0.03484607491076748,-0.0036619006856898257,-1.8010973889669157e-05,0.03479325300900678,-0.007326083116172398,-7.08328756503715e-05,0.0347164782046719,-0.010994830360733234,-0.00014760767998524965
0.4,0.30792014356780045,0.10420564304165504,0.10418560974650783,-0.0032219981132429842,-2.0033295147214858e-05,0.1041267197980702,-0.0064460977351576765,-7.892324358484137e-05,0.10403981638480725,-0.009674401668797666,-0.0001658266568477923
0.5,0.3849001794597505,0.24749631053450952,0.24747344071957836,-0.0026956542890150853,-2.2869814931159027e-05,0.24740603787201806,-0.005393182301904225,-9.027266249145294e-05,0.24730492725901654,-0.008094459017421406,-0.00019138327549297895
0.6,0.4618802153517006,0.5050403320994054,0.5050138027188117,-0.002111782162295954,-2.6529380593665053e-05,0.5049354181135505,-0.0042251664686622755,-0.00010491398585488199,0.504815981723731,-0.006341756224008046,-0.00022435037567436478
0.7,0.5388602512436507,0.9256747010331015,0.9256438658225418,-0.0015053018454877656,-3.083521055968763e-05,0.9255525590067566,-0.003011895848678622,-0.0001221420263448625,0.9254115598280063,-0.004521075189935408,-0.00026314120509518535
0.8,0.6158402871356009,1.5663862815145428,1.5663509629635992,-0.0009173036919124095,-3.5318550943630456e-05,1.566246202590674,-0.0018355584726907409,-0.00014007892386880272,1.5660827532148338,-0.0027557162703043467,-0.0003035282997090327
0.9,0.6928203230275509,2.4917423799395757,2.491703295987264,-0.0003963448724323255,-3.9083952311891323e-05,2.4915872363526566,-0.0007932768226093478,-0.00015514358691914865,2.491404928361213,-0.0011913835368961823,-0.0003374515783627352
0.95,0.731310340973526,3.083217838258705,3.0831775842042055,-0.00017946194183252268,-4.025405449947783e-05,3.0830580118968385,-0.0003593207500555411,-0.00015982636186651078,3.0828698375521104,-0.0005399732641906962,-0.0003480007065945756
0.99,0.762102355330306,3.626768189029337,3.6267275754741664,-3.4999797958444426e-05,-4.0613555170487814e-05,3.6266068888496714,-7.023811664738849e-05,-0.00016130017966542454,3.6264168726096413,-0.00010594022140302922,-0.0003513164196955465
