model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.0,0.0,0.001,10.0,-1.0176771552892518e-05,-0.003200088715514542,-1.0176753362932607e-05,-0.003200088715514542,-2.378058643017738e-42,1.2000669826703003e-48,0.0,2.164989446033234e-61,3.850007280692547
fan_wang,0.0,0.0,0.001,12.0,-1.0177225565832635e-05,-0.003200088703715835,-1.017720510212781e-05,-0.003200088703715835,-8.319949104260675e-42,9.758319017228203e-49,0.0,1.3354566477636581e-61,4.654000588984913
fan_wang,0.0,0.0,0.001,14.0,-1.0177504003384323e-05,-0.0032000887028285742,-1.017743715528192e-05,-0.0032000887028285742,-2.3768811019588305e-41,7.22581287703248e-49,1.1107649934270853e-16,9.43943113492234e-62,5.456566550489593
fan_wang,0.0,0.0,0.001,16.0,-1.0178036895017054e-05,-0.003200088702747999,-1.017799614950702e-05,-0.003200088702747999,-5.85881956441246e-41,4.445520988243311e-49,3.469446951953614e-18,2.801740792326342e-61,6.258352051882631
fan_wang,0.0,0.0,0.002,10.0,-4.070720620584278e-05,-0.006400640167292625,-4.070718801588287e-05,-0.006400640167292625,-3.8032359070812135e-41,3.8406651700245047e-47,6.938893903907228e-18,1.3774407895055437e-60,3.85015965092865
fan_wang,0.0,0.0,0.002,12.0,-4.0711329827067754e-05,-0.0064006401442981645,-4.071130936336293e-05,-0.0064006401442981645,-1.3305885319443043e-40,3.1231371971371025e-47,6.938893903907228e-18,7.705651426030978e-61,4.654250268104627
fan_wang,0.0,0.0,0.002,14.0,-4.0721547818076565e-05,-0.00640064014108825,-4.072148096997416e-05,-0.00640064014108825,-3.801219446851662e-40,2.312785248350876e-47,1.1102230246251565e-16,2.270428230282151e-60,5.4569487924867985
fan_wang,0.0,0.0,0.002,16.0,-4.0755369452236394e-05,-0.006400640140499672,-4.075532870672636e-05,-0.006400640140499672,-9.369534589843987e-40,1.4231759823866683e-47,6.938893903907228e-18,3.4706662375552464e-60,6.258907602943244
fan_wang,0.0,0.0,0.003,10.0,-9.159470368873886e-05,-0.009602117145666979,-9.159468549877895e-05,-0.009602117145666979,-1.9239894130401663e-40,2.9170757805970183e-46,0.0,2.076931348986156e-59,3.850413672516509
fan_wang,0.0,0.0,0.003,12.0,-9.162609777828106e-05,-0.009602117110867725,-9.162607731457623e-05,-0.009602117110867725,-6.731014419170503e-40,2.3722337387738233e-46,0.0,6.067439895914613e-60,4.654666565466261
fan_wang,0.0,0.0,0.003,14.0,-9.173970570395965e-05,-0.009602117105306588,-9.173963885585725e-05,-0.009602117105306588,-1.922856967008352e-39,1.7569360536548045e-46,1.1188630228279524e-16,1.2057092100855962e-59,5.4575862042450565
fan_wang,0.0,0.0,0.003,16.0,-9.212532541480391e-05,-0.009602117103962868,-9.212528466929388e-05,-0.009602117103962868,-4.739465920024321e-39,1.0814955664983828e-46,1.3877787807814457e-17,4.0925493316175556e-60,6.259834166331254
fan_wang,0.0,0.0,0.004,10.0,-0.0001628547641240475,-0.01280498255634014,-0.0001628547459340876,-0.01280498255634014,-6.0745682675785595e-40,1.2295900816379777e-45,2.2247786310271853e-16,1.6334674252433627e-59,3.8507694522236897
fan_wang,0.0,0.0,0.004,12.0,-0.00016301635295022242,-0.012804982510504843,-0.0001630163324865176,-0.012804982510504843,-2.1250811246808157e-39,1.0000122692912376e-45,1.3877787807814457e-17,4.229934135962706e-59,4.6552497292390145
